Pool Name,Status,Open Date,Weekday,Weekend,Closure Days,Pool Type,Phone,Location 1,Website
Baily Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1201 W 33rd St
Austin, TX
(30.302605251000045, -97.74689354299994)",Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)
Lott Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1180 Curves
Austin, TX
(30.269695108000064, -97.73017088999995)",Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad)
Barton Springs,Open,10/01/2024 12:00:00 AM,5:00AM-10:00PM,5:00AM-10:00PM,Thursday,Regional,512-974-6300,"2131 William Barton Dr
Austin, TX
(30.265983430000063, -97.76862557799996)",http://www.austintexas.gov/department/barton-springs-pool
Gillis,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-693-2974,"2410 Durwood Ave
Austin, TX
(30.239795595000032, -97.75878452399996)",Gillis Pool (http://www.austintexas.gov/department/gillis-pool)
Canyon Vista,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-996-8038,"8455 Spicewood Springs
Austin, TX
(30.427132347000054, -97.78468953899994)",Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool)
Kennemer,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-821-2454,"200 Dawson Rd
Austin, TX
(30.36075515300007, -97.70649799899996)",Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool)
Dittmar,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-693-4698,"1009 W Dittmar Dr
Austin, TX
(30.185743134000063, -97.80106115899997)",Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool)
Stacy,Open,10/01/2024 12:00:00 AM,6:00AM-8:00PM,12:00PM-7:00PM,None,Neighborhood,512-445-0304,"700 E Live Oak St
Austin, TX
(30.239596177000067, -97.74730836399999)",http://austintexas.gov/department/big-stacy-pool
Dick Nichols,Closed,,Closed for the season,Closed for the season,NA,Community,512-899-0348,"8011 Beckett Rd
Austin, TX
(30.21486475200004, -97.86331548799996)",Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool)
Montopolis,Closed,,Closed for renovation,Closed for renovation,NA,Neighborhood,512-389-6022,"1200 Montopolis Dr
Austin, TX
(30.231947330000025, -97.69905656299994)",Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool)
