Pool Name,Status,Open Date,Weekday,Weekend,Closure Days,Pool Type,Phone,Location 1,Website,anomaly
Baily Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"1201 W 33rd St
Austin, TX
(30.302605251000045, -97.74689354299994)",Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad),0.0
Lott Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"1180 Curves
Austin, TX
(30.269695108000064, -97.73017088999995)",Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad),0.0
Barton Springs,Open,10/01/2024 12:00:00 AM,5:00AM-10:00PM,5:00AM-10:00PM,Thursday,Regional,512-974-6300,"2131 William Barton Dr
Austin, TX
(30.265983430000063, -97.76862557799996)",http://www.austintexas.gov/department/barton-springs-pool,0.0
Gillis,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-693-2974,"2410 Durwood Ave
Austin, TX
(30.239795595000032, -97.75878452399996)",Gillis Pool (http://www.austintexas.gov/department/gillis-pool),0.0
Canyon Vista,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-996-8038,"8455 Spicewood Springs
Austin, TX
(30.427132347000054, -97.78468953899994)",Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool),0.0
Kennemer,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-821-2454,"200 Dawson Rd
Austin, TX
(30.36075515300007, -97.70649799899996)",Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool),0.0
Dittmar,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-693-4698,"1009 W Dittmar Dr
Austin, TX
(30.185743134000063, -97.80106115899997)",Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool),0.0
Stacy,Open,10/01/2024 12:00:00 AM,6:00AM-8:00PM,12:00PM-7:00PM,,Neighborhood,512-445-0304,"700 E Live Oak St
Austin, TX
(30.239596177000067, -97.74730836399999)",http://austintexas.gov/department/big-stacy-pool,0.0
Dick Nichols,Closed,,Closed for the season,Closed for the season,,Community,512-899-0348,"8011 Beckett Rd
Austin, TX
(30.21486475200004, -97.86331548799996)",Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool),0.0
Montopolis,Closed,,Closed for renovation,Closed for renovation,,Neighborhood,512-389-6022,"1200 Montopolis Dr
Austin, TX
(30.231947330000025, -97.69905656299994)",Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool),0.0
Bartholomew Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"5201 Berkman Dr
Austin, TX
(30.305630359000077, -97.69783935199996)",Bartholomew Splash Pad (http://www.austintexas.gov/department/bartholomew-splash-pad),0.0
Metz Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"2407 Canterbury St
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Splash Pad (http://www.austintexas.gov/department/metz-splash-pad),0.0
Martin,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-469-0948,"1626 Nash Hernandez Sr Dr
Austin, TX
(30.250938086000076, -97.73110151999998)",Martin Pool (http://www.austintexas.gov/department/martin-pool),0.0
Metz,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-391-6212,"2309 Canterbury St
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Pool (http://www.austintexas.gov/department/metz-pool),0.0
Dove Springs,Closed,,Closed for the season,Closed for the season,,Community,512-444-6136,"5801 Ainez Dr
Austin, TX
(30.18812383100004, -97.73920481399995)",Dove Springs Pool (http://www.austintexas.gov/department/dove-springs-pool),0.0
Reed,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-542-9782,"2614 Pecos St
Austin, TX
(30.303090361000045, -97.77087252699994)",Reed Pool (http://www.austintexas.gov/department/reed-pool),0.0
Bartholomew,Open,10/01/2024 12:00:00 AM,12:15PM-8:00PM,12:00PM-7:00PM,,Regional,512-974-1650,"1800 E 51st St
Austin, TX
(30.302395535000073, -97.69739842999996)",http://www.austintexas.gov/department/bartholomew-pool,0.0
Springwoods,Open,10/01/2024 12:00:00 AM,3:00PM-8:00PM,12:00PM-7:00PM,,Regional,512-996-8978,"13320 Lyndhurst St
Austin, TX 78729
(30.466694790000076, -97.78281477599995)",http://austintexas.gov/department/springwoods-pool,0.0
West Austin,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-236-1303,"1317 W 10th St
Austin, TX
(30.27739562900007, -97.75705321199996)",West Austin Pool (http://www.austintexas.gov/department/west-austin-pool),0.0
Chestnut Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"2205 E 16th St
Austin, TX
(30.27750823100007, -97.73795600299997)",Chestnut Splash Pad (http://www.austintexas.gov/department/chestnut-splash-pad),0.0
Ramsey,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-380-9131,"4201 Burnet Rd
Austin, TX
(30.31187897700005, -97.74379847899996)",http://www.austintexas.gov/department/ramsey-pool,0.0
Shipe,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-380-9124,"4400 Ave
G Austin, TX
(30.306847952000055, -97.72711577799998)",Shipe Pool (http://www.austintexas.gov/department/shipe-pool),0.0
Pease Splashpad,Operated by Pease Park Conservancy,,,,,Splash Pad,512-974-9332,"1100 Kingsbury St
Austin, TX
(30.28291173100007, -97.75437819199999)",Pease Splash Pad (http://www.austintexas.gov/department/pease-splash-pad),0.0
Mabel Davis,Closed,,Closed for the season,Closed for the season,,Regional,512-441-5247,"3427 Parker Lane
Austin, TX
(30.22025858300003, -97.74271075999997)",Mabel Davis (http://www.austintexas.gov/department/mabel-davis-pool),0.0
Rosewood,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-473-8469,"2300 Rosewood Ave
Austin, TX
(30.271339, -97.713836)",Rosewood Pool (http://www.austintexas.gov/department/rosewood-pool),0.0
Colony Park,Closed,,Opening Soon,Opening Soon,,Regional,,"7400 Loyola Lane
(30.29625, -97.63809)",Colony Park (https://www.austintexas.gov/department/colony-park-pool),0.0
Govalle,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-974-1255,"5200 Bolm Rd
Austin, TX
(30.258835826000052, -97.69156788399994)",Govalle Pool (http://www.austintexas.gov/department/govalle-pool),0.0
